City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
yellowknife,62.456,-114.3525,67.32,72.0,20.0,1.01,CA,1627806016.0
keningau,5.3378,116.1602,86.45,69.0,96.0,4.54,MY,1627806173.0
saint-joseph,-21.3667,55.6167,75.58,76.0,21.0,13.62,RE,1627806175.0
krivodol,43.3744,23.4844,96.13,26.0,0.0,3.15,BG,1627806175.0
puerto ayora,-0.7393,-90.3518,70.56,90.0,6.0,7.0,EC,1627806175.0
rikitea,-23.1203,-134.9692,70.95,71.0,95.0,22.84,PF,1627805708.0
arraial do cabo,-22.9661,-42.0278,65.89,60.0,93.0,13.87,BR,1627806176.0
moorhead,46.8739,-96.7676,61.99,69.0,1.0,1.01,US,1627806177.0
fort nelson,58.8053,-122.7002,62.19,77.0,20.0,2.3,CA,1627806177.0
peniche,39.3558,-9.3811,69.62,82.0,68.0,7.05,PT,1627806178.0
codrington,-38.2667,141.9667,46.94,91.0,60.0,7.58,AU,1627806178.0
albany,42.6001,-73.9662,59.59,86.0,39.0,3.13,US,1627805483.0
bandarbeyla,9.4942,50.8122,88.9,43.0,94.0,26.75,SO,1627806178.0
new norfolk,-42.7826,147.0587,44.71,71.0,15.0,3.0,AU,1627805882.0
lebu,-37.6167,-73.65,45.75,70.0,12.0,14.47,CL,1627805889.0
astana,51.1801,71.446,85.95,35.0,0.0,6.71,KZ,1627806179.0
sao miguel do araguaia,-13.275,-50.1628,70.88,47.0,30.0,3.29,BR,1627806180.0
cidreira,-30.1811,-50.2056,52.21,91.0,50.0,7.16,BR,1627806004.0
sinazongwe,-17.2614,27.4618,67.68,54.0,2.0,3.51,ZM,1627806180.0
hermanus,-34.4187,19.2345,60.8,79.0,34.0,12.33,ZA,1627806181.0
nome,64.5011,-165.4064,48.27,87.0,90.0,5.75,US,1627806181.0
san patricio,28.017,-97.5169,84.07,80.0,4.0,9.06,US,1627806182.0
tevaitoa,-16.7833,-151.5,76.84,67.0,66.0,15.01,PF,1627806182.0
teya,60.3778,92.6267,79.43,30.0,19.0,1.88,RU,1627806075.0
kapaa,22.0752,-159.319,80.92,77.0,40.0,4.0,US,1627805961.0
mpika,-11.8343,31.4529,56.73,82.0,95.0,8.34,ZM,1627806183.0
rapar,23.5667,70.6333,88.14,62.0,100.0,21.05,IN,1627806067.0
bluff,-46.6,168.3333,44.8,88.0,46.0,5.66,NZ,1627806184.0
chokurdakh,70.6333,147.9167,47.41,49.0,16.0,14.29,RU,1627805904.0
tuktoyaktuk,69.4541,-133.0374,59.58,68.0,32.0,14.32,CA,1627805896.0
sitka,57.0531,-135.33,60.69,88.0,90.0,3.44,US,1627806185.0
cocobeach,1.0002,9.5823,78.73,81.0,100.0,8.88,GA,1627806185.0
korla,41.7597,86.1469,87.82,18.0,27.0,11.59,CN,1627806002.0
cherskiy,68.75,161.3,42.3,60.0,98.0,20.07,RU,1627806186.0
el sauzal,31.9,-116.6833,68.99,72.0,0.0,5.88,MX,1627806186.0
teguldet,57.3064,88.1667,71.85,53.0,80.0,1.28,RU,1627806105.0
ushuaia,-54.8,-68.3,42.46,65.0,20.0,13.8,AR,1627806094.0
sikonge,-5.6333,32.7667,76.08,35.0,0.0,10.89,TZ,1627806187.0
masuguru,-11.3667,38.4167,81.37,40.0,56.0,8.08,TZ,1627806187.0
hithadhoo,-0.6,73.0833,82.24,70.0,96.0,6.17,MV,1627805906.0
neiafu,-18.65,-173.9833,76.59,78.0,93.0,24.25,TO,1627806188.0
ribeira grande,38.5167,-28.7,72.0,78.0,20.0,6.91,PT,1627806188.0
arman,59.7,150.1667,61.54,71.0,32.0,3.33,RU,1627806189.0
komsomolskiy,40.4272,71.7189,93.92,22.0,88.0,4.61,UZ,1627806189.0
pierre,44.3683,-100.351,65.28,78.0,1.0,4.0,US,1627805551.0
provideniya,64.3833,-173.3,44.28,81.0,100.0,4.7,RU,1627806126.0
husavik,66.0449,-17.3389,53.51,65.0,98.0,4.41,IS,1627806009.0
ostrovnoy,68.0531,39.5131,52.86,73.0,25.0,4.27,RU,1627806190.0
dunedin,-45.8742,170.5036,51.8,88.0,97.0,3.0,NZ,1627805902.0
bredasdorp,-34.5322,20.0403,60.28,77.0,63.0,6.91,ZA,1627806191.0
souillac,-20.5167,57.5167,75.58,60.0,75.0,18.41,MU,1627805956.0
